market_id,resolution,resolution_binary,volume,category,closed_time,price_t0,price_t1d,price_t7d,price_t30d
248308,No,0,22657.365708999998,,2023-03-02 07:17:20+00,0.01,0.01,0.02,0.07
248309,Yes,1,2349.808721,,2023-01-20 08:00:30+00,0.82,0.93,0.32,
248311,No,0,427620.44492200005,,2023-07-01 06:17:32+00,0.0005,0.001,0.009,0.014
248312,Yes,1,15625.883962000002,,2023-07-01 06:18:44+00,0.995,0.995,0.87,0.87
248315,No,0,39467.00206499999,,2023-04-01 20:20:41+00,0.06,0.05,0.07,0.23
248316,Yes,1,97672.91063700001,,2023-07-01 06:18:08+00,0.995,0.995,0.95,0.97
248323,No,0,66.511665,,2023-01-05 07:15:27+00,,,,
248324,Yes,1,519.786604,,2023-01-26 15:46:12+00,0.55,0.55,0.78,
248330,No,0,7709.790915,,2023-05-29 13:47:47+00,0.13,0.13,0.135,0.235
248331,No,0,5108.387779,,2023-05-29 13:48:23+00,0.495,0.495,0.495,0.45
248332,Yes,1,2917.2296100000003,,2023-05-29 13:47:25+00,0.955,0.875,0.82,0.94
248334,No,0,2489.77,,2023-01-07 07:15:30+00,0.45,,,
248335,No,0,413.381696,,2023-01-07 07:45:46+00,0.5,,,
248336,Yes,1,89.969998,,2023-01-11 06:30:44+00,0.78,0.78,,
248337,No,0,177.509998,,2023-01-11 06:15:36+00,0.5,0.75,,
248338,No,0,108.351427,,2023-01-11 05:00:32+00,0.18,0.18,,
248339,Yes,1,141.319998,,2023-01-11 05:15:32+00,0.86,0.86,,
248356,Yes,1,3257.8622299999997,,2023-01-28 21:00:38+00,0.95,0.94,0.91,
248357,No,0,2248.9229459999997,,2023-01-28 21:01:06+00,0.01,0.01,0.01,
248358,No,0,2984.6267510000007,,2023-01-28 21:01:20+00,0.07,0.07,0.11,
248362,No,0,7109.833846,,2023-04-01 07:51:06+00,0.02,0.02,0.02,0.22
248363,No,0,37275.565939,,2023-01-29 17:01:01+00,0.25,0.1,0.06,
248364,No,0,52726.569370000005,,2023-04-01 13:21:34+00,0.03,0.02,0.04,0.02
