dispute_id,arbitrable,created_time,block_number,tx_hash,ruling,ruling_time,num_votes,num_unique_voters,consensus_rate,majority_choice,num_jurors_drawn,num_draws,num_appeals
0,0xb5526d022962a1fff6ed32c93e8b714c901f4323,1731564893,274289504,0xf6f48db3e891e2dfb1edc4c052eb69e693cdc8e1ab9acb06f34bea062591fd4b,2,1732032527,5.0,5.0,1.0,2.0,5,7,1
1,0xb5526d022962a1fff6ed32c93e8b714c901f4323,1731650477,274629635,0xadef1c50e5f53b45bac85365f203a16f78a95c01a5e4696f71ed7ae03b11c327,2,1732151771,6.0,6.0,1.0,2.0,6,7,1
2,0xb5526d022962a1fff6ed32c93e8b714c901f4323,1731650726,274630620,0x8ce03af9ac130e132a978d212de7d8e7247542a7c66ad7ffae3819461f0e005c,2,1732191670,5.0,5.0,1.0,2.0,6,7,1
3,0xb5526d022962a1fff6ed32c93e8b714c901f4323,1732624264,278503989,0x6ed9a3dd714a119ab46dd19f56a9e1caf33bf5a8c72189273bffb30df31e724a,2,1733156757,6.0,6.0,1.0,2.0,6,7,1
4,0xb5526d022962a1fff6ed32c93e8b714c901f4323,1732708478,278838556,0x94dc4856d7a9c5c38ea425fffc1b8c790464da60deb1f6edabffc1c28ebc0381,2,1733240889,7.0,7.0,1.0,2.0,7,7,1
5,0xb5526d022962a1fff6ed32c93e8b714c901f4323,1734469998,285826715,0x8b136cb20abfdd1df9c0609169280e020150c1b28a6bca1231d3bc191c59810e,1,1735212383,6.0,6.0,1.0,1.0,6,7,1
6,0xb5526d022962a1fff6ed32c93e8b714c901f4323,1734552657,286156163,0x01db1d330acef1a0df007b0f9dcb56b7a88aeb49687f95cb5c58d5c36526ef70,2,1735321669,6.0,6.0,1.0,2.0,6,7,1
7,0xb5526d022962a1fff6ed32c93e8b714c901f4323,1734963458,287793291,0x3e5bc74978768b65591dedabf7731327a79f23dcfe54cb84212e5cb6e1318302,2,1735719602,5.0,5.0,0.8,2.0,5,7,1
8,0xb5526d022962a1fff6ed32c93e8b714c901f4323,1734964352,287796872,0x3597d88b10939b627890f71ba9567750af7991994463d9b67389b09cbf88bb0e,2,1735742929,5.0,5.0,1.0,2.0,6,7,1
9,0xb5526d022962a1fff6ed32c93e8b714c901f4323,1736263626,292969999,0x6bee3b1d1f4ecd11f650aa2beb081e7af278d84168b0090637e418ff2a323c87,1,1736770461,7.0,7.0,1.0,1.0,7,7,1
10,0xb5526d022962a1fff6ed32c93e8b714c901f4323,1736517959,293982755,0xf88a19c36357704b22d1039336fd69cef2db14e221c78a96044673987c65ea5b,2,1737058864,6.0,6.0,0.8333,2.0,7,7,1
11,0xb5526d022962a1fff6ed32c93e8b714c901f4323,1737057792,296131987,0xa34cdb13497e65d74eb7bffebfa1feb81c40240300d71446b93b047005c7dc70,2,1737595597,7.0,7.0,1.0,2.0,7,7,1
12,0xb5526d022962a1fff6ed32c93e8b714c901f4323,1739996482,307802096,0x6e3968e0b60eb748dc18040b49d6d5ce961f6d48ece553b9dfde3b0ee8b07084,2,1740537427,4.0,4.0,1.0,2.0,7,7,1
13,0xb5526d022962a1fff6ed32c93e8b714c901f4323,1739996679,307802883,0x3f33172406024c95ca3b4d405c998676d70e347e7f478946f327028b50ff158e,2,1740534946,7.0,7.0,1.0,2.0,7,7,1
14,0xb5526d022962a1fff6ed32c93e8b714c901f4323,1740428071,309516020,0x59349a304f167b8a72ee9cda7476639ef1a919cf9166d3b9787111b3898f8e73,2,1741161755,6.0,6.0,1.0,2.0,6,7,1
15,0xb5526d022962a1fff6ed32c93e8b714c901f4323,1740428497,309517717,0x33b63ec84861fc90db52a719632817c9565a370e8623ab64bc12703408be02ef,2,1741069563,5.0,5.0,1.0,2.0,5,7,1
16,0xb5526d022962a1fff6ed32c93e8b714c901f4323,1740505505,309825415,0xb81ad14f56ed553a04ed50bd28cdd196748e445f83646de0361e72dd10a93389,2,1741204764,7.0,7.0,1.0,2.0,7,7,1
17,0xb5526d022962a1fff6ed32c93e8b714c901f4323,1740505679,309826107,0x9376f6800c172d4f96520ca826058be03f92a3ce6d46373ff181855756ce22a5,2,1741222578,5.0,5.0,1.0,2.0,5,7,1
18,0xb5526d022962a1fff6ed32c93e8b714c901f4323,1740596341,310187012,0x166f18c3a8de7b28eb80b140fad4fa2cba021b47edeee0d329bb20bb45c8c68b,1,1741024639,6.0,6.0,1.0,1.0,6,7,1
19,0xb5526d022962a1fff6ed32c93e8b714c901f4323,1741376317,313290135,0x47cf10b37aed51d0fb239efa80d1aa5fc9e6df79f317ad4e6ff3cd6d75e16470,0,1741913814,2.0,2.0,1.0,0.0,2,3,1
20,0xb5526d022962a1fff6ed32c93e8b714c901f4323,1741380702,313307588,0xe686071290ab638c1c36913091f3ea1b3f4118f17c83198c20cdfbcac32e337f,1,1741914454,3.0,3.0,1.0,1.0,3,3,1
21,0xb5526d022962a1fff6ed32c93e8b714c901f4323,1741383382,313318298,0x26009acfeab20d2edab0e2c80c9abe8d1f33e9f63502f95c854cfc85de1ffb35,3,1741784424,2.0,2.0,1.0,3.0,2,3,1
22,0xb5526d022962a1fff6ed32c93e8b714c901f4323,1741385067,313325027,0x3fa9d0c15dc9107c9c15bb5fe85b5faf5ecf15fce5308cdb2bd9036bcc187707,2,1741914472,3.0,3.0,0.6667,2.0,3,3,1
23,0xb5526d022962a1fff6ed32c93e8b714c901f4323,1741391897,313352345,0xcb87f1fb3a36ad968b8522e3c9a1efdef32768f78ca3c7bd2c5c249196f39074,2,1741915106,3.0,3.0,0.6667,2.0,3,3,1
24,0xb5526d022962a1fff6ed32c93e8b714c901f4323,1741829014,315096024,0x3bf6819c9cc9568689b9b5a5a1f78ec5502a23fadaa4536c741f252879611b46,2,1742456172,2.0,2.0,1.0,2.0,3,3,1
25,0xb5526d022962a1fff6ed32c93e8b714c901f4323,1742539910,317927869,0x6aa17132da082eeb16e732b3126a93bfb89af705042095aac70505f3d97d387b,1,1743135079,2.0,2.0,1.0,1.0,2,3,1
26,0xb5526d022962a1fff6ed32c93e8b714c901f4323,1742990317,319724330,0x615e8ce0301513814006c08e0e70762b304311e860cbe0e6030d581d01d39998,2,1744827587,1.0,1.0,1.0,2.0,4,5,1
27,0xb5526d022962a1fff6ed32c93e8b714c901f4323,1744325563,325053062,0xd3d1bde0b9ca699c944a2d60f25dafa421ffd40f3a8e28c903bb595f79dd08c2,2,1744946108,1.0,1.0,1.0,2.0,1,3,1
28,0xb5526d022962a1fff6ed32c93e8b714c901f4323,1744326669,325057480,0x7faa659637955ff5dce702492eaa402c6624394d6968b51256ec0f1ce370b765,2,1744948597,2.0,2.0,0.5,2.0,2,3,1
29,0xb5526d022962a1fff6ed32c93e8b714c901f4323,1744335447,325092491,0x8ee77ec5155ace084c6c1a38762443ca1f3af9bf5de143764c368d8e3689b3ed,1,1744951713,1.0,1.0,1.0,1.0,1,3,1
30,0xb5526d022962a1fff6ed32c93e8b714c901f4323,1744335997,325094694,0x5445b0d9005e3cd81219b8c9be81ef643574e6626d19d633eba0f97bd885a640,1,1744952967,2.0,2.0,0.5,1.0,2,3,1
31,0xb5526d022962a1fff6ed32c93e8b714c901f4323,1744336335,325096026,0x7b03114e154d8dca9d507b296f728d704b60c08e6d7018c827bb24f8fce3b951,2,1744953623,2.0,2.0,1.0,2.0,2,3,1
32,0xb5526d022962a1fff6ed32c93e8b714c901f4323,1744343656,325125299,0x4036aa7ab62722bf59b1f2811442a58153172f21878f5dce020e6c4a61d7ee72,1,1744953642,2.0,2.0,1.0,1.0,2,3,1
33,0xb5526d022962a1fff6ed32c93e8b714c901f4323,1744419714,325428228,0x3ebc625b6be845e649a61d435228f883c48c0b824c8c4060464440a1664bfd04,1,1745047010,2.0,2.0,1.0,1.0,3,3,1
34,0xb5526d022962a1fff6ed32c93e8b714c901f4323,1744909909,327378978,0xdd5107974adf27d204da72a2f3691b413950b500e927cdf1da6c0450bf6cc875,1,1745364712,5.0,5.0,1.0,1.0,6,7,1
35,0xb5526d022962a1fff6ed32c93e8b714c901f4323,1746470440,333590226,0x27239a7d955fe9cc5e07a0751fcc9c332cc1a966d7e6792d78cb44c3180d889e,2,1746893195,5.0,5.0,1.0,2.0,5,7,1
36,0xb5526d022962a1fff6ed32c93e8b714c901f4323,1746470938,333592203,0x2ffd194be549bfe269aad6f5e8114cf85120fc94b44d2e829391fcdece2f2908,0,1746924792,2.0,2.0,1.0,0.0,3,3,1
37,0xb5526d022962a1fff6ed32c93e8b714c901f4323,1746481117,333632491,0xaa35508db4dcc3b9a4cf348436779475a38bb81de79adf2b614aad064d3faa49,2,1746883243,6.0,6.0,1.0,2.0,6,7,1
